               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.12907,            0.033883,                   0,                   0,                   0,                   0,                   0,                   0,            0.022205,                   0,              0.0955,              0.0005,              0.0005
                   1,             0.10181,            0.031449,                   0,                   0,                   0,                   0,                   0,                   0,             0.01907,                   0,            0.090089,           0.0010891,           0.0010891
                   2,             0.10634,            0.030055,                   0,                   0,                   0,                   0,                   0,                   0,            0.015739,                   0,            0.084666,           0.0016663,           0.0016663
                   3,            0.088889,            0.029912,                   0,                   0,                   0,                   0,                   0,                   0,            0.014418,                   0,            0.079232,           0.0022317,           0.0022317
                   4,            0.093604,             0.02981,                   0,                   0,                   0,                   0,                   0,                   0,            0.012816,                   0,            0.073785,           0.0027852,           0.0027852
                   5,            0.083454,            0.032049,                   0,                   0,                   0,                   0,                   0,                   0,            0.011443,                   0,            0.068327,           0.0033267,           0.0033267
                   6,            0.079315,            0.033152,                   0,                   0,                   0,                   0,                   0,                   0,           0.0099001,                   0,            0.062856,           0.0038565,           0.0038565
                   7,            0.073915,            0.032937,                   0,                   0,                   0,                   0,                   0,                   0,           0.0084873,                   0,            0.057374,           0.0043743,           0.0043743
                   8,            0.069833,            0.031939,                   0,                   0,                   0,                   0,                   0,                   0,           0.0071376,                   0,             0.05188,           0.0048802,           0.0048802
                   9,            0.066473,            0.027945,                   0,                   0,                   0,                   0,                   0,                   0,           0.0069739,                   0,            0.046374,           0.0053743,           0.0053743
                  10,            0.065184,            0.031226,                   0,                   0,                   0,                   0,                   0,                   0,           0.0077716,                   0,            0.040857,           0.0058565,           0.0058565
                  11,             0.05271,            0.029674,                   0,                   0,                   0,                   0,                   0,                   0,            0.008886,                   0,            0.035327,           0.0063268,           0.0063268
                  12,            0.059172,            0.026629,                   0,                   0,                   0,                   0,                   0,                   0,            0.010915,                   0,            0.029785,           0.0067852,           0.0067852
                  13,            0.063888,            0.033195,                   0,                   0,                   0,                   0,                   0,                   0,            0.012125,                   0,            0.024232,           0.0072318,           0.0072318
                  14,            0.053702,            0.027396,                   0,                   0,                   0,                   0,                   0,                   0,            0.011495,                   0,            0.018666,           0.0076665,           0.0076665
                  15,            0.053792,            0.024752,                   0,                   0,                   0,                   0,                   0,                   0,            0.009794,                   0,            0.013089,           0.0080892,           0.0080892
                  16,            0.068927,            0.022296,                   0,                   0,                   0,                   0,                   0,                   0,           0.0084148,                   0,            0.008416,            0.008416,            0.008416
                  17,            0.055974,            0.025635,                   0,                   0,                   0,                   0,                   0,                   0,           0.0055165,                   0,            0.008416,            0.008416,            0.008416
                  18,            0.048258,            0.024698,                   0,                   0,                   0,                   0,                   0,                   0,           0.0049187,                   0,            0.008317,            0.008317,            0.008317
                  19,            0.050939,            0.024669,                   0,                   0,                   0,                   0,                   0,                   0,           0.0048345,                   0,            0.008218,            0.008218,            0.008218
                  20,            0.049557,            0.029481,                   0,                   0,                   0,                   0,                   0,                   0,            0.005638,                   0,            0.008119,            0.008119,            0.008119
                  21,            0.054464,            0.021615,                   0,                   0,                   0,                   0,                   0,                   0,           0.0058726,                   0,             0.00802,             0.00802,             0.00802
                  22,            0.051648,             0.02283,                   0,                   0,                   0,                   0,                   0,                   0,           0.0050269,                   0,            0.007921,            0.007921,            0.007921
                  23,            0.053195,            0.025308,                   0,                   0,                   0,                   0,                   0,                   0,           0.0053572,                   0,            0.007822,            0.007822,            0.007822
                  24,            0.047111,            0.023965,                   0,                   0,                   0,                   0,                   0,                   0,           0.0068576,                   0,            0.007723,            0.007723,            0.007723
                  25,            0.049758,            0.023814,                   0,                   0,                   0,                   0,                   0,                   0,            0.006383,                   0,            0.007624,            0.007624,            0.007624
                  26,            0.045975,            0.023949,                   0,                   0,                   0,                   0,                   0,                   0,           0.0047369,                   0,            0.007525,            0.007525,            0.007525
                  27,            0.044799,             0.02374,                   0,                   0,                   0,                   0,                   0,                   0,           0.0039659,                   0,            0.007426,            0.007426,            0.007426
                  28,            0.047948,            0.024399,                   0,                   0,                   0,                   0,                   0,                   0,           0.0041999,                   0,            0.007327,            0.007327,            0.007327
                  29,            0.049011,            0.020616,                   0,                   0,                   0,                   0,                   0,                   0,           0.0039515,                   0,            0.007228,            0.007228,            0.007228
                  30,            0.056666,            0.023325,                   0,                   0,                   0,                   0,                   0,                   0,           0.0034049,                   0,            0.007129,            0.007129,            0.007129
                  31,            0.051478,             0.02452,                   0,                   0,                   0,                   0,                   0,                   0,           0.0031407,                   0,             0.00703,             0.00703,             0.00703
                  32,            0.040238,            0.019373,                   0,                   0,                   0,                   0,                   0,                   0,           0.0025649,                   0,            0.006931,            0.006931,            0.006931
                  33,            0.041521,            0.021991,                   0,                   0,                   0,                   0,                   0,                   0,           0.0025677,                   0,            0.006832,            0.006832,            0.006832
                  34,            0.046346,             0.02194,                   0,                   0,                   0,                   0,                   0,                   0,           0.0021797,                   0,            0.006733,            0.006733,            0.006733
                  35,            0.038362,            0.021193,                   0,                   0,                   0,                   0,                   0,                   0,           0.0022412,                   0,            0.006634,            0.006634,            0.006634
                  36,            0.042627,            0.019598,                   0,                   0,                   0,                   0,                   0,                   0,           0.0023381,                   0,            0.006535,            0.006535,            0.006535
                  37,             0.04524,            0.019916,                   0,                   0,                   0,                   0,                   0,                   0,            0.002552,                   0,            0.006436,            0.006436,            0.006436
                  38,            0.045168,            0.021792,                   0,                   0,                   0,                   0,                   0,                   0,           0.0028643,                   0,            0.006337,            0.006337,            0.006337
                  39,            0.041328,            0.021062,                   0,                   0,                   0,                   0,                   0,                   0,           0.0026684,                   0,            0.006238,            0.006238,            0.006238
                  40,            0.034261,            0.020931,                   0,                   0,                   0,                   0,                   0,                   0,           0.0027387,                   0,            0.006139,            0.006139,            0.006139
                  41,            0.039376,            0.024021,                   0,                   0,                   0,                   0,                   0,                   0,           0.0022403,                   0,             0.00604,             0.00604,             0.00604
                  42,            0.031774,            0.018021,                   0,                   0,                   0,                   0,                   0,                   0,           0.0021367,                   0,            0.005941,            0.005941,            0.005941
                  43,            0.040711,            0.021532,                   0,                   0,                   0,                   0,                   0,                   0,           0.0028747,                   0,            0.005842,            0.005842,            0.005842
                  44,            0.034598,            0.021743,                   0,                   0,                   0,                   0,                   0,                   0,           0.0027533,                   0,            0.005743,            0.005743,            0.005743
                  45,            0.039062,            0.022743,                   0,                   0,                   0,                   0,                   0,                   0,            0.003026,                   0,            0.005644,            0.005644,            0.005644
                  46,            0.034844,             0.01954,                   0,                   0,                   0,                   0,                   0,                   0,           0.0030361,                   0,            0.005545,            0.005545,            0.005545
                  47,            0.037841,            0.018735,                   0,                   0,                   0,                   0,                   0,                   0,           0.0036295,                   0,            0.005446,            0.005446,            0.005446
                  48,             0.03368,            0.019676,                   0,                   0,                   0,                   0,                   0,                   0,           0.0034143,                   0,            0.005347,            0.005347,            0.005347
                  49,            0.035612,            0.019934,                   0,                   0,                   0,                   0,                   0,                   0,           0.0032486,                   0,            0.005248,            0.005248,            0.005248
                  50,             0.02866,            0.018052,                   0,                   0,                   0,                   0,                   0,                   0,           0.0031684,                   0,            0.005149,            0.005149,            0.005149
                  51,            0.035212,            0.017477,                   0,                   0,                   0,                   0,                   0,                   0,           0.0026641,                   0,             0.00505,             0.00505,             0.00505
                  52,            0.033549,            0.021054,                   0,                   0,                   0,                   0,                   0,                   0,           0.0025445,                   0,            0.004951,            0.004951,            0.004951
                  53,            0.035802,            0.018701,                   0,                   0,                   0,                   0,                   0,                   0,           0.0029413,                   0,            0.004852,            0.004852,            0.004852
                  54,            0.037282,            0.018855,                   0,                   0,                   0,                   0,                   0,                   0,           0.0030176,                   0,            0.004753,            0.004753,            0.004753
                  55,            0.030636,            0.016062,                   0,                   0,                   0,                   0,                   0,                   0,           0.0028931,                   0,            0.004654,            0.004654,            0.004654
                  56,            0.038654,            0.018799,                   0,                   0,                   0,                   0,                   0,                   0,           0.0026322,                   0,            0.004555,            0.004555,            0.004555
                  57,            0.032848,            0.020642,                   0,                   0,                   0,                   0,                   0,                   0,           0.0024938,                   0,            0.004456,            0.004456,            0.004456
                  58,            0.037266,            0.019468,                   0,                   0,                   0,                   0,                   0,                   0,           0.0024056,                   0,            0.004357,            0.004357,            0.004357
                  59,            0.029266,            0.019806,                   0,                   0,                   0,                   0,                   0,                   0,           0.0020332,                   0,            0.004258,            0.004258,            0.004258
                  60,            0.029122,            0.016172,                   0,                   0,                   0,                   0,                   0,                   0,           0.0021033,                   0,            0.004159,            0.004159,            0.004159
                  61,            0.032959,            0.018018,                   0,                   0,                   0,                   0,                   0,                   0,           0.0020545,                   0,             0.00406,             0.00406,             0.00406
                  62,            0.029666,            0.016689,                   0,                   0,                   0,                   0,                   0,                   0,           0.0020149,                   0,            0.003961,            0.003961,            0.003961
                  63,            0.031453,            0.017638,                   0,                   0,                   0,                   0,                   0,                   0,            0.002346,                   0,            0.003862,            0.003862,            0.003862
                  64,            0.034851,            0.017711,                   0,                   0,                   0,                   0,                   0,                   0,           0.0025814,                   0,            0.003763,            0.003763,            0.003763
                  65,            0.026819,            0.017718,                   0,                   0,                   0,                   0,                   0,                   0,           0.0029573,                   0,            0.003664,            0.003664,            0.003664
                  66,            0.032302,            0.016682,                   0,                   0,                   0,                   0,                   0,                   0,            0.002901,                   0,            0.003565,            0.003565,            0.003565
                  67,            0.028548,            0.018327,                   0,                   0,                   0,                   0,                   0,                   0,           0.0027247,                   0,            0.003466,            0.003466,            0.003466
                  68,            0.031256,            0.017618,                   0,                   0,                   0,                   0,                   0,                   0,           0.0030991,                   0,            0.003367,            0.003367,            0.003367
                  69,            0.027885,            0.015999,                   0,                   0,                   0,                   0,                   0,                   0,           0.0033939,                   0,            0.003268,            0.003268,            0.003268
                  70,            0.033031,            0.018002,                   0,                   0,                   0,                   0,                   0,                   0,            0.003173,                   0,            0.003169,            0.003169,            0.003169
                  71,            0.022661,             0.01471,                   0,                   0,                   0,                   0,                   0,                   0,           0.0029311,                   0,             0.00307,             0.00307,             0.00307
                  72,            0.028474,            0.015905,                   0,                   0,                   0,                   0,                   0,                   0,           0.0026606,                   0,            0.002971,            0.002971,            0.002971
                  73,            0.029352,              0.0153,                   0,                   0,                   0,                   0,                   0,                   0,           0.0024217,                   0,            0.002872,            0.002872,            0.002872
                  74,            0.028395,            0.015625,                   0,                   0,                   0,                   0,                   0,                   0,           0.0023821,                   0,            0.002773,            0.002773,            0.002773
                  75,            0.030046,            0.016578,                   0,                   0,                   0,                   0,                   0,                   0,           0.0022666,                   0,            0.002674,            0.002674,            0.002674
                  76,             0.02773,            0.016719,                   0,                   0,                   0,                   0,                   0,                   0,           0.0023202,                   0,            0.002575,            0.002575,            0.002575
                  77,            0.024025,            0.015196,                   0,                   0,                   0,                   0,                   0,                   0,           0.0024651,                   0,            0.002476,            0.002476,            0.002476
                  78,             0.02815,            0.013476,                   0,                   0,                   0,                   0,                   0,                   0,           0.0026963,                   0,            0.002377,            0.002377,            0.002377
                  79,            0.029139,            0.014806,                   0,                   0,                   0,                   0,                   0,                   0,           0.0027182,                   0,            0.002278,            0.002278,            0.002278
                  80,            0.025844,            0.016699,                   0,                   0,                   0,                   0,                   0,                   0,           0.0028982,                   0,            0.002179,            0.002179,            0.002179
                  81,             0.03045,            0.016474,                   0,                   0,                   0,                   0,                   0,                   0,           0.0028216,                   0,             0.00208,             0.00208,             0.00208
                  82,            0.034145,            0.014164,                   0,                   0,                   0,                   0,                   0,                   0,           0.0029405,                   0,            0.001981,            0.001981,            0.001981
                  83,            0.027034,            0.016092,                   0,                   0,                   0,                   0,                   0,                   0,           0.0031986,                   0,            0.001882,            0.001882,            0.001882
                  84,            0.022822,            0.015586,                   0,                   0,                   0,                   0,                   0,                   0,           0.0032707,                   0,            0.001783,            0.001783,            0.001783
                  85,            0.029102,            0.015954,                   0,                   0,                   0,                   0,                   0,                   0,           0.0033163,                   0,            0.001684,            0.001684,            0.001684
                  86,            0.024063,            0.013267,                   0,                   0,                   0,                   0,                   0,                   0,           0.0032814,                   0,            0.001585,            0.001585,            0.001585
                  87,            0.030143,             0.01827,                   0,                   0,                   0,                   0,                   0,                   0,           0.0030874,                   0,            0.001486,            0.001486,            0.001486
                  88,            0.027979,            0.015327,                   0,                   0,                   0,                   0,                   0,                   0,            0.002906,                   0,            0.001387,            0.001387,            0.001387
                  89,            0.025877,            0.015164,                   0,                   0,                   0,                   0,                   0,                   0,           0.0028052,                   0,            0.001288,            0.001288,            0.001288
                  90,            0.029299,            0.017376,                   0,                   0,                   0,                   0,                   0,                   0,            0.002694,                   0,            0.001189,            0.001189,            0.001189
                  91,            0.027771,            0.017132,                   0,                   0,                   0,                   0,                   0,                   0,           0.0026013,                   0,             0.00109,             0.00109,             0.00109
                  92,            0.021729,             0.01318,                   0,                   0,                   0,                   0,                   0,                   0,           0.0025489,                   0,            0.000991,            0.000991,            0.000991
                  93,            0.026536,            0.015971,                   0,                   0,                   0,                   0,                   0,                   0,            0.002627,                   0,            0.000892,            0.000892,            0.000892
                  94,            0.022821,            0.016837,                   0,                   0,                   0,                   0,                   0,                   0,           0.0027159,                   0,            0.000793,            0.000793,            0.000793
                  95,            0.024768,            0.015506,                   0,                   0,                   0,                   0,                   0,                   0,           0.0027635,                   0,            0.000694,            0.000694,            0.000694
                  96,            0.024556,            0.014679,                   0,                   0,                   0,                   0,                   0,                   0,            0.002843,                   0,            0.000595,            0.000595,            0.000595
                  97,            0.021623,            0.015007,                   0,                   0,                   0,                   0,                   0,                   0,           0.0029406,                   0,            0.000496,            0.000496,            0.000496
                  98,            0.021844,            0.013942,                   0,                   0,                   0,                   0,                   0,                   0,           0.0029636,                   0,            0.000397,            0.000397,            0.000397
                  99,            0.027651,            0.014113,                   0,                   0,                   0,                   0,                   0,                   0,           0.0030048,                   0,            0.000298,            0.000298,            0.000298
